,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM,Volatility_Copper_5_train_LSTM,Volatility_Copper_7_train_LSTM,Volatility_Copper_9_train_LSTM,Volatility_Copper_11_train_LSTM,Volatility_Copper_13_train_LSTM,Volatility_Copper_15_train_LSTM
2010-03-24,0.28879652169638237,0.3272201,0.32237473,0.30485868,0.3026294,0.30243215,0.30707294,0.3354247
2010-03-25,0.3376919572213184,0.32597739,0.32059118,0.29943103,0.30757114,0.30784798,0.3171151,0.33884397
2010-03-26,0.33803418828440157,0.32537252,0.30935946,0.30381486,0.31413302,0.31262058,0.32504267,0.3440594
2010-03-29,0.33209358617905327,0.32439655,0.30553284,0.30793113,0.31990165,0.32273725,0.3295414,0.35910955
2010-03-30,0.33159731974995865,0.310513,0.31088078,0.3127973,0.3236502,0.3302475,0.3340415,0.36358768
2010-03-31,0.33095789058351177,0.31144476,0.31391057,0.3176879,0.3341375,0.3345028,0.34659854,0.3797308
2010-04-01,0.314148974726997,0.3162226,0.31879473,0.3217648,0.34186333,0.33921638,0.35242304,0.3876583
2010-04-05,0.3167032588530828,0.3170096,0.323717,0.33239836,0.34506315,0.3521784,0.36678782,0.38610682
2010-04-06,0.32339194844589525,0.32292813,0.32724532,0.33934134,0.34899974,0.35765386,0.37556553,0.3948459
2010-04-07,0.32383037219078503,0.32693833,0.33852315,0.34211785,0.36352807,0.3722684,0.37565225,0.39957255
2010-04-08,0.3302263326643181,0.3304195,0.34452674,0.34640613,0.3690025,0.38084882,0.38149533,0.42194715
2010-04-09,0.33463186703206826,0.34296966,0.3468538,0.36142355,0.38501143,0.38069338,0.38541442,0.43317142
2010-04-12,0.33804093535563695,0.34615377,0.3519004,0.3658726,0.39301637,0.3874991,0.40524468,0.38247278
2010-04-13,0.352806153469588,0.34954616,0.36750215,0.38097277,0.39058483,0.3921129,0.4183805,0.35328364
2010-04-14,0.3553659862087808,0.355442,0.36980388,0.38865697,0.39765504,0.41295618,0.37878633,0.33518308
2010-04-15,0.35802214800325916,0.37149972,0.38642997,0.38647223,0.40287885,0.4253882,0.34414688,0.33293614
2010-04-16,0.3647044716297405,0.36971167,0.3927153,0.39421076,0.42678267,0.3849903,0.3192247,0.33936113
2010-04-19,0.3843670936049277,0.3910139,0.38983324,0.39980382,0.4398415,0.3523474,0.3125995,0.34289625
2010-04-20,0.3802725769339296,0.3925717,0.400151,0.42290512,0.39043295,0.3303087,0.31985414,0.35181588
2010-04-21,0.4055581738535593,0.39141214,0.40443683,0.43385157,0.35161918,0.32545108,0.328069,0.35059613
2010-04-22,0.4055297818914676,0.40464267,0.42899838,0.38539898,0.33145347,0.33282208,0.33943343,0.3523736
2010-04-23,0.4020428824691964,0.40559167,0.43693113,0.35305142,0.33513907,0.3389154,0.34126675,0.3600261
2010-04-26,0.4183880971624271,0.43254837,0.38565424,0.33695427,0.34970707,0.34797716,0.34224963,0.36363393
2010-04-27,0.41892707750721525,0.43551573,0.35693678,0.33964875,0.3579099,0.34823444,0.34736076,0.35522637
2010-04-28,0.4532999481237975,0.37750107,0.34080276,0.34933716,0.36562487,0.3492509,0.35126662,0.35102576
2010-04-29,0.45310163662750313,0.36095178,0.34434283,0.3530796,0.3620881,0.3558206,0.3459916,0.35354084
2010-04-30,0.3736376062043488,0.34793794,0.35600623,0.36104435,0.36111274,0.36014155,0.3409052,0.3583539
2010-05-03,0.3699389673372979,0.3537107,0.35877818,0.35865766,0.3676136,0.3536966,0.3403147,0.36198705
2010-05-04,0.35389213989875634,0.36046323,0.36694565,0.35908213,0.3719558,0.34846738,0.34354705,0.36837828
2010-05-05,0.36162982497931573,0.3607977,0.36354405,0.36607343,0.36342764,0.34852216,0.34772533,0.3574581
2010-05-06,0.37075988413645633,0.37116927,0.3641799,0.36967376,0.3569005,0.3521801,0.3544044,0.3522588
2010-05-07,0.3702004080359249,0.36368933,0.37235412,0.360766,0.35793313,0.35622466,0.3474627,0.35093218
2010-05-10,0.3818428613624788,0.36905557,0.374685,0.35543337,0.3638572,0.36258376,0.3412913,0.36849457
2010-05-11,0.3727499653518559,0.37619594,0.36521164,0.35793668,0.36939043,0.35473377,0.33770412,0.3484234
2010-05-12,0.3781707425709052,0.3765787,0.36106938,0.36307007,0.37616187,0.34876272,0.35174567,0.33335075
