,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM
2012-10-19,0.14710093101823665,0.13744941
2012-10-22,0.1536090877675176,0.127785
2012-10-23,0.12739358968770562,0.12835206
2012-10-24,0.13096474378440806,0.12721515
2012-10-25,0.12896028359416598,0.12506421
2012-10-26,0.12861970175187878,0.116308525
2012-10-29,0.12500147029519817,0.10509968
2012-10-30,0.11004574387281149,0.09987244
2012-10-31,0.09908092936711232,0.098505005
2012-11-01,0.09838459673550501,0.10349798
2012-11-02,0.09627262831260303,0.1081593
2012-11-05,0.10656126002289049,0.10587593
2012-11-06,0.10819790131715848,0.11126187
2012-11-07,0.10330363131617545,0.11764643
2012-11-08,0.11594976807430343,0.11875955
2012-11-09,0.11903816681616294,0.12651303
2012-11-12,0.11988550084261726,0.12606096
2012-11-13,0.1315999443976675,0.12094083
2012-11-14,0.12463079483676484,0.11925602
2012-11-15,0.12050505021634031,0.11809789
2012-11-16,0.12024144168658149,0.12746176
2012-11-19,0.11812552972591336,0.13232897
2012-11-20,0.13385817138774989,0.12891002
2012-11-21,0.13403644580701715,0.12439618
2012-11-22,0.12811270960772006,0.118844256
2012-11-23,0.12442934761609672,0.115814544
2012-11-26,0.1162781421025483,0.11545722
2012-11-27,0.11693907746574819,0.112568736
2012-11-28,0.11552527457588271,0.11213589
2012-11-29,0.11104156956706021,0.10938443
2012-11-30,0.1136686793985007,0.10656302
2012-12-03,0.1057860320595915,0.10220711
2012-12-04,0.10687045523613273,0.09771923
2012-12-05,0.09625030468587395,0.101569615
2012-12-06,0.096093595109011,0.10424503
2012-12-07,0.10334772244093662,0.10297042
2012-12-10,0.10331286890608818,0.10222383
2012-12-11,0.10143893690955683,0.10281626
2012-12-12,0.10142329388399637,0.10986447
2012-12-13,0.10245833830019549,0.10466598
2012-12-14,0.11356701092819196,0.09643081
2012-12-17,0.09396268039260783,0.09052967
2012-12-18,0.0940261069224877,0.08009622
2012-12-19,0.08108346011146672,0.07700129
2012-12-20,0.06300889826971776,0.07893522
2012-12-21,0.0741432658205792,0.07706088
2012-12-24,0.07596288165823392,0.07647346
2012-12-26,0.0668836367461518,0.0763101
2012-12-27,0.07221617596755364,0.07894708
2012-12-28,0.07077235031213949,0.08010955
2013-01-01,0.07629424507853802,0.07732858
2013-01-02,0.07562527697131699,0.07477423
2013-01-03,0.06734391304125018,0.07366694
2013-01-04,0.06765451558157148,0.07380828
2013-01-07,0.06744882186968015,0.0723255
2013-01-08,0.06783818467863131,0.07133226
2013-01-09,0.0636797696429747,0.070995964
2013-01-10,0.06403565899879704,0.07751
2013-01-11,0.06456318107123263,0.0791916
2013-01-14,0.07676885268673825,0.07950312
2013-01-15,0.074363614304372,0.07816587
2013-01-16,0.07434637138119757,0.07926658
2013-01-17,0.07160598176787975,0.081550114
2013-01-18,0.07615510773666587,0.07975645
2013-01-21,0.07862480478424042,0.0775899
2013-01-22,0.07129656176030463,0.07342083
2013-01-23,0.0713371572474675,0.07018983
2013-01-24,0.06200083408975374,0.067318246
2013-01-25,0.06073887882216622,0.06257691
2013-01-28,0.058122384026411816,0.05772233
2013-01-29,0.047329400857608034,0.05838279
2013-01-30,0.044262921479618966,0.06218368
2013-01-31,0.05274995893881684,0.06385446
2013-02-01,0.05728148771303623,0.060670245
2013-02-04,0.05567497595388324,0.05542738
2013-02-05,0.04598703337414928,0.0538554
2013-02-06,0.039961854332300456,0.051797926
2013-02-07,0.04550265277309204,0.056486517
2013-02-08,0.038982965820881066,0.0567217
2013-02-11,0.051873001226975496,0.059910636
2013-02-12,0.047313699687862254,0.056407012
2013-02-13,0.052868702120972194,0.053778566
2013-02-14,0.041578354903684306,0.05130244
2013-02-15,0.04059976958092143,0.051099367
2013-02-18,0.040688227973226715,0.05750219
2013-02-19,0.040546463655518616,0.06507026
2013-02-20,0.05435562639586142,0.068629645
2013-02-21,0.06269961259478368,0.066505454
2013-02-22,0.06293507583059996,0.063828506
2013-02-25,0.053578090254070176,0.06354888
2013-02-26,0.0537417865761626,0.06596278
2013-02-27,0.05682313401520639,0.06448026
2013-02-28,0.06044469039540798,0.06307286
2013-03-01,0.053089827402675954,0.06464013
2013-03-04,0.053343778595587005,0.06632129
2013-03-05,0.05956720607096,0.06761622
2013-03-06,0.05982949024249487,0.06955992
2013-03-07,0.06057396627510722,0.072019994
2013-03-08,0.06456047167036671,0.073285244
2013-03-11,0.06761819469216279,0.07603501
2013-03-12,0.06747442040891807,0.07591858
2013-03-13,0.07276464934204763,0.076159835
2013-03-14,0.06916284728125352,0.07320025
2013-03-15,0.07097876324639521,0.079778746
2013-03-18,0.06258019848714397,0.08182688
2013-03-19,0.0802604377950453,0.08583603
2013-03-20,0.07773461596581163,0.088259675
2013-03-21,0.08508416392431217,0.08508187
2013-03-22,0.08546698793413293,0.08267997
2013-03-25,0.07699268671732984,0.079998754
2013-03-26,0.07848121557635707,0.078078784
2013-03-27,0.07189240357080845,0.07838219
2013-03-28,0.07222891027076103,0.079071894
2013-04-01,0.07431332390450007,0.07929822
2013-04-02,0.0743684621062117,0.07705409
2013-04-03,0.0744021278718999,0.075006865
2013-04-04,0.06849281702255033,0.07380499
2013-04-05,0.06787894542285508,0.07391362
2013-04-08,0.06725297830169014,0.08023235
2013-04-09,0.06815515759972587,0.08226872
2013-04-10,0.07982168930035302,0.081436545
2013-04-11,0.07801780442458248,0.095556945
2013-04-12,0.07551959631091246,0.108787596
2013-04-15,0.100062426610103,0.10848173
2013-04-16,0.1105116608416408,0.14014204
2013-04-17,0.10614025773099509,0.15726322
2013-04-18,0.16103814375656425,0.1626598
2013-04-19,0.16427559716187243,0.16252415
2013-04-22,0.16563810210116034,0.16245215
